			Current	Current	Current	Current	Current	Current	Current	Current	Current	Current	Current	Current	Current	Current	Current	Current	Current	Destock-5%	Destock-5%	Destock-5%	Destock-5%	Destock-5%	Destock-5%	Destock-5%	Destock-5%	Destock-5%	Destock-5%	Destock-5%	Destock-5%	Destock-5%	Destock-5%	Destock-5%	Destock-5%	Destock-5%	Destock-10%	Destock-10%	Destock-10%	Destock-10%	Destock-10%	Destock-10%	Destock-10%	Destock-10%	Destock-10%	Destock-10%	Destock-10%	Destock-10%	Destock-10%	Destock-10%	Destock-10%	Destock-10%	Destock-10%	Destock-20%	Destock-20%	Destock-20%	Destock-20%	Destock-20%	Destock-20%	Destock-20%	Destock-20%	Destock-20%	Destock-20%	Destock-20%	Destock-20%	Destock-20%	Destock-20%	Destock-20%	Destock-20%	Destock-20%	Destock-30%	Destock-30%	Destock-30%	Destock-30%	Destock-30%	Destock-30%	Destock-30%	Destock-30%	Destock-30%	Destock-30%	Destock-30%	Destock-30%	Destock-30%	Destock-30%	Destock-30%	Destock-30%	Destock-30%
Time (y)	Year	DOY	WAL	ROOTD	WCL	CLV	CLVD	CRES	CRT	CST	DM	BASAL	TILTOT	TILG2	TSIZE	LAI	PHOT	RESMOB	YIELD	WAL	ROOTD	WCL	CLV	CLVD	CRES	CRT	CST	DM	BASAL	TILTOT	TILG2	TSIZE	LAI	PHOT	RESMOB	YIELD	WAL	ROOTD	WCL	CLV	CLVD	CRES	CRT	CST	DM	BASAL	TILTOT	TILG2	TSIZE	LAI	PHOT	RESMOB	YIELD	WAL	ROOTD	WCL	CLV	CLVD	CRES	CRT	CST	DM	BASAL	TILTOT	TILG2	TSIZE	LAI	PHOT	RESMOB	YIELD	WAL	ROOTD	WCL	CLV	CLVD	CRES	CRT	CST	DM	BASAL	TILTOT	TILG2	TSIZE	LAI	PHOT	RESMOB	YIELD
2011.66530054645	2011	244	112.3407505	0.266951002619386	29.9014517878831	46.8813382145265	0	1.90641836697255	48.7877565814991	0	1089.46797505268	80.09	4595	0	0.0102026851391788	1.84739047827501	6.00208024606715	0	0	112.3407505	0.266951002619386	29.9014517878831	46.8813382145265	0	1.90641836697255	48.7877565814991	0	1089.46797505268	80.09	4595	0	0.0102026851391788	1.84739047827501	6.00208024606715	0	0	112.3407505	0.266951002619386	29.9014517878831	46.8813382145265	0	1.90641836697255	48.7877565814991	0	1089.46797505268	80.09	4595	0	0.0102026851391788	1.84739047827501	6.00208024606715	0	0	112.3407505	0.266951002619386	29.9014517878831	46.8813382145265	0	1.90641836697255	48.7877565814991	0	1089.46797505268	80.09	4595	0	0.0102026851391788	1.84739047827501	6.00208024606715	0	0	112.3407505	0.266951002619386	29.9014517878831	46.8813382145265	0	1.90641836697255	48.7877565814991	0	1089.46797505268	80.09	4595	0	0.0102026851391788	1.84739047827501	6.00208024606715	0	0
2011.66803278689	2011	245	109.5987505	0.266771865144574	29.1648524105175	48.5029374431713	0.375485764534843	4.65007963248878	48.586555873357	0	1202.43917320569	80.0874347845364	4591.3704095	0	0.0105639347552561	1.91135189911471	5.88473122904489	1.41678271008847	0	109.5987505	0.266771865144574	29.1648524105175	48.5029374431713	0.375485764534843	4.65007963248878	48.586555873357	0	1202.43917320569	80.0874347845364	4591.3704095	0	0.0105639347552561	1.91135189911471	5.88473122904489	1.41678271008847	0	109.5987505	0.266771865144574	29.1648524105175	48.5029374431713	0.375485764534843	4.65007963248878	48.586555873357	0	1202.43917320569	80.0874347845364	4591.3704095	0	0.0105639347552561	1.91135189911471	5.88473122904489	1.41678271008847	0	109.5987505	0.266771865144574	29.1648524105175	48.5029374431713	0.375485764534843	4.65007963248878	48.586555873357	0	1202.43917320569	80.0874347845364	4591.3704095	0	0.0105639347552561	1.91135189911471	5.88473122904489	1.41678271008847	0	109.5987505	0.266771865144574	29.1648524105175	48.5029374431713	0.375485764534843	4.65007963248878	48.586555873357	0	1202.43917320569	80.0874347845364	4591.3704095	0	0.0105639347552561	1.91135189911471	5.88473122904489	1.41678271008847	0
2011.67076502732	2011	246	107.214277495463	0.2673463917936	28.5956841830424	50.3192796689811	0.741164161381978	5.54146135463963	49.2303192875667	0	1273.21306342962	80.0851508022693	4664.6231374365	0	0.0107874265908295	1.97167220106228	5.61430288050568	1.84933329287177	0	107.214277495463	0.2673463917936	28.5956841830424	50.3192796689811	0.741164161381978	5.54146135463963	49.2303192875667	0	1273.21306342962	80.0851508022693	4664.6231374365	0	0.0107874265908295	1.97167220106228	5.61430288050568	1.84933329287177	0	107.214277495463	0.2673463917936	28.5956841830424	50.3192796689811	0.741164161381978	5.54146135463963	49.2303192875667	0	1273.21306342962	80.0851508022693	4664.6231374365	0	0.0107874265908295	1.97167220106228	5.61430288050568	1.84933329287177	0	107.214277495463	0.2673463917936	28.5956841830424	50.3192796689811	0.741164161381978	5.54146135463963	49.2303192875667	0	1273.21306342962	80.0851508022693	4664.6231374365	0	0.0107874265908295	1.97167220106228	5.61430288050568	1.84933329287177	0	107.214277495463	0.2673463917936	28.5956841830424	50.3192796689811	0.741164161381978	5.54146135463963	49.2303192875667	0	1273.21306342962	80.0851508022693	4664.6231374365	0	0.0107874265908295	1.97167220106228	5.61430288050568	1.84933329287177	0
2011.67349726776	2011	247	105.065707719647	0.268399161017119	28.1311208348021	51.9835885519493	1.07493032460014	5.49843754601034	50.4491985726329	0	1316.53913590691	80.0831785328542	4748.1182274165	0	0.0109482506673458	2.0243416411817	5.73083222060673	1.79076052571777	0	105.065707719647	0.268399161017119	28.1311208348021	51.9835885519493	1.07493032460014	5.49843754601034	50.4491985726329	0	1316.53913590691	80.0831785328542	4748.1182274165	0	0.0109482506673458	2.0243416411817	5.73083222060673	1.79076052571777	0	105.065707719647	0.268399161017119	28.1311208348021	51.9835885519493	1.07493032460014	5.49843754601034	50.4491985726329	0	1316.53913590691	80.0831785328542	4748.1182274165	0	0.0109482506673458	2.0243416411817	5.73083222060673	1.79076052571777	0	105.065707719647	0.268399161017119	28.1311208348021	51.9835885519493	1.07493032460014	5.49843754601034	50.4491985726329	0	1316.53913590691	80.0831785328542	4748.1182274165	0	0.0109482506673458	2.0243416411817	5.73083222060673	1.79076052571777	0	105.065707719647	0.268399161017119	28.1311208348021	51.9835885519493	1.07493032460014	5.49843754601034	50.4491985726329	0	1316.53913590691	80.0831785328542	4748.1182274165	0	0.0109482506673458	2.0243416411817	5.73083222060673	1.79076052571777	0
2011.6762295082	2011	248	103.313609542063	0.269077905007694	27.732304144189	53.8913951028466	1.46175790999335	5.7593497116806	51.2619941065978	0	1374.05380974401	80.0815321971132	4838.06666335422	0	0.0111390352495647	2.08571284563595	6.19675515116728	1.88776140939586	0	103.313609542063	0.269077905007694	27.732304144189	53.8913951028466	1.46175790999335	5.7593497116806	51.2619941065978	0	1374.05380974401	80.0815321971132	4838.06666335422	0	0.0111390352495647	2.08571284563595	6.19675515116728	1.88776140939586	0	103.313609542063	0.269077905007694	27.732304144189	53.8913951028466	1.46175790999335	5.7593497116806	51.2619941065978	0	1374.05380974401	80.0815321971132	4838.06666335422	0	0.0111390352495647	2.08571284563595	6.19675515116728	1.88776140939586	0	103.313609542063	0.269077905007694	27.732304144189	53.8913951028466	1.46175790999335	5.7593497116806	51.2619941065978	0	1374.05380974401	80.0815321971132	4838.06666335422	0	0.0111390352495647	2.08571284563595	6.19675515116728	1.88776140939586	0	103.313609542063	0.269077905007694	27.732304144189	53.8913951028466	1.46175790999335	5.7593497116806	51.2619941065978	0	1374.05380974401	80.0815321971132	4838.06666335422	0	0.0111390352495647	2.08571284563595	6.19675515116728	1.88776140939586	0
2011.67896174863	2011	249	100.995092985831	0.269930626264732	27.1968513824878	55.8654102599184	1.86729929671635	5.95006811537041	52.3154177958666	0	1431.70080414281	80.0802187963157	4932.84771916965	0	0.0113251844452483	2.14902619873095	6.36612587543431	1.94619820891497	0	100.995092985831	0.269930626264732	27.1968513824878	55.8654102599184	1.86729929671635	5.95006811537041	52.3154177958666	0	1431.70080414281	80.0802187963157	4932.84771916965	0	0.0113251844452483	2.14902619873095	6.36612587543431	1.94619820891497	0	100.995092985831	0.269930626264732	27.1968513824878	55.8654102599184	1.86729929671635	5.95006811537041	52.3154177958666	0	1431.70080414281	80.0802187963157	4932.84771916965	0	0.0113251844452483	2.14902619873095	6.36612587543431	1.94619820891497	0	100.995092985831	0.269930626264732	27.1968513824878	55.8654102599184	1.86729929671635	5.95006811537041	52.3154177958666	0	1431.70080414281	80.0802187963157	4932.84771916965	0	0.0113251844452483	2.14902619873095	6.36612587543431	1.94619820891497	0	100.995092985831	0.269930626264732	27.1968513824878	55.8654102599184	1.86729929671635	5.95006811537041	52.3154177958666	0	1431.70080414281	80.0802187963157	4932.84771916965	0	0.0113251844452483	2.14902619873095	6.36612587543431	1.94619820891497	0
2011.68169398907	2011	250	98.7272252114529	0.270710200548753	26.6645226485067	57.9493117110178	2.30142701390987	6.17508750646801	53.311110266289	0	1493.28249266009	80.0792445633531	5032.55782385373	0	0.0115148824393721	2.21600786059132	6.56604670298913	2.02041939342555	0	98.7272252114529	0.270710200548753	26.6645226485067	57.9493117110178	2.30142701390987	6.17508750646801	53.311110266289	0	1493.28249266009	80.0792445633531	5032.55782385373	0	0.0115148824393721	2.21600786059132	6.56604670298913	2.02041939342555	0	98.7272252114529	0.270710200548753	26.6645226485067	57.9493117110178	2.30142701390987	6.17508750646801	53.311110266289	0	1493.28249266009	80.0792445633531	5032.55782385373	0	0.0115148824393721	2.21600786059132	6.56604670298913	2.02041939342555	0	98.7272252114529	0.270710200548753	26.6645226485067	57.9493117110178	2.30142701390987	6.17508750646801	53.311110266289	0	1493.28249266009	80.0792445633531	5032.55782385373	0	0.0115148824393721	2.21600786059132	6.56604670298913	2.02041939342555	0	98.7272252114529	0.270710200548753	26.6645226485067	57.9493117110178	2.30142701390987	6.17508750646801	53.311110266289	0	1493.28249266009	80.0792445633531	5032.55782385373	0	0.0115148824393721	2.21600786059132	6.56604670298913	2.02041939342555	0
2011.68442622951	2011	251	96.3395680181901	0.271495827527167	26.0973030612092	60.0886508153247	2.75430409133526	6.40435972136225	54.3477563603138	0	1556.61910207094	80.0786086714142	5135.34598333865	0	0.0117009936643566	2.28481119293982	4.81557124139063	2.09569796679009	0	96.3395680181901	0.271495827527167	26.0973030612092	60.0886508153247	2.75430409133526	6.40435972136225	54.3477563603138	0	1556.61910207094	80.0786086714142	5135.34598333865	0	0.0117009936643566	2.28481119293982	4.81557124139063	2.09569796679009	0	96.3395680181901	0.271495827527167	26.0973030612092	60.0886508153247	2.75430409133526	6.40435972136225	54.3477563603138	0	1556.61910207094	80.0786086714142	5135.34598333865	0	0.0117009936643566	2.28481119293982	4.81557124139063	2.09569796679009	0	96.3395680181901	0.271495827527167	26.0973030612092	60.0886508153247	2.75430409133526	6.40435972136225	54.3477563603138	0	1556.61910207094	80.0786086714142	5135.34598333865	0	0.0117009936643566	2.28481119293982	4.81557124139063	2.09569796679009	0	96.3395680181901	0.271495827527167	26.0973030612092	60.0886508153247	2.75430409133526	6.40435972136225	54.3477563603138	0	1556.61910207094	80.0786086714142	5135.34598333865	0	0.0117009936643566	2.28481119293982	4.81557124139063	2.09569796679009	0
2011.68715846995	2011	252	94.2451844314532	0.272048550553209	25.5852714608107	61.4379365483873	3.19584254103113	6.64033669181857	55.0978353544905	0	1602.31461928254	80.078174798774	5198.30160302833	0	0.0118188480084718	2.3274944170186	2.90890885323258	2.19152261755723	0	94.2451844314532	0.272048550553209	25.5852714608107	61.4379365483873	3.19584254103113	6.64033669181857	55.0978353544905	0	1602.31461928254	80.078174798774	5198.30160302833	0	0.0118188480084718	2.3274944170186	2.90890885323258	2.19152261755723	0	94.2451844314532	0.272048550553209	25.5852714608107	61.4379365483873	3.19584254103113	6.64033669181857	55.0978353544905	0	1602.31461928254	80.078174798774	5198.30160302833	0	0.0118188480084718	2.3274944170186	2.90890885323258	2.19152261755723	0	94.2451844314532	0.272048550553209	25.5852714608107	61.4379365483873	3.19584254103113	6.64033669181857	55.0978353544905	0	1602.31461928254	80.078174798774	5198.30160302833	0	0.0118188480084718	2.3274944170186	2.90890885323258	2.19152261755723	0	94.2451844314532	0.272048550553209	25.5852714608107	61.4379365483873	3.19584254103113	6.64033669181857	55.0978353544905	0	1602.31461928254	80.078174798774	5198.30160302833	0	0.0118188480084718	2.3274944170186	2.90890885323258	2.19152261755723	0
