row.names.df_params.	ModePrior_1	MAP_1	MaxL_1	MeanPost_1	VarPost_1	CVPost_1	MinPost_1	MaxPost_1	ModePrior_2	MAP_2	MaxL_2	MeanPost_2	VarPost_2	CVPost_2	MinPost_2	MaxPost_2	ModePrior_3	MAP_3	MaxL_3	MeanPost_3	VarPost_3	CVPost_3	MinPost_3	MaxPost_3
RDRSCO	0.03	0.0707	0.07769	0.07278	0.0003725	0.2652	0.0118	0.128	0.03	0.0707	0.07769	0.07278	0.0003725	0.2652	0.0118	0.128	0.03	0.0707	0.07769	0.07278	0.0003725	0.2652	0.0118	0.128
RDRSMX	0.09	0.08307	0.09397	0.08273	0.0003332	0.2206	0.03097	0.1303	0.09	0.08307	0.09397	0.08273	0.0003332	0.2206	0.03097	0.1303	0.09	0.08307	0.09397	0.08273	0.0003332	0.2206	0.03097	0.1303
RDRTEM	0.001	0.00126	0.0009252	0.001346	6.799e-08	0.1937	0.0005343	0.00192	0.001	0.00126	0.0009252	0.001346	6.799e-08	0.1937	0.0005343	0.00192	0.001	0.00126	0.0009252	0.001346	6.799e-08	0.1937	0.0005343	0.00192
RGENMX	0.01	0.003618	0.003917	0.006712	1.308e-05	0.5389	0.001377	0.01934	0.01	0.003618	0.003917	0.006712	1.308e-05	0.5389	0.001377	0.01934	0.01	0.003618	0.003917	0.006712	1.308e-05	0.5389	0.001377	0.01934
ROOTDM	0.2	0.471	0.5521	0.4254	0.005359	0.1721	0.1146	0.5806	0.2	0.471	0.5521	0.4254	0.005359	0.1721	0.1146	0.5806	0.2	0.471	0.5521	0.4254	0.005359	0.1721	0.1146	0.5806
RRDMAX	0.0101	0.0101	0.0101	0.0101	0	0	0.0101	0.0101	0.0101	0.0101	0.0101	0.0101	0	0	0.0101	0.0101	0.0101	0.0101	0.0101	0.0101	0	0	0.0101	0.0101
RUBISC	2.7	4.652	4.133	4.551	1.24	0.2447	1.281	8.488	2.7	4.652	4.133	4.551	1.24	0.2447	1.281	8.488	2.7	4.652	4.133	4.551	1.24	0.2447	1.281	8.488
LSHAPE	0.8	0.4646	0.5427	0.6946	0.01649	0.1849	0.2548	0.9824	0.8	0.4646	0.5427	0.6946	0.01649	0.1849	0.2548	0.9824	0.8	0.4646	0.5427	0.6946	0.01649	0.1849	0.2548	0.9824
SIMAX1T	0.004	0.003881	0.003886	0.003801	3.799e-07	0.1622	0.002027	0.005684	0.004	0.003881	0.003886	0.003801	3.799e-07	0.1622	0.002027	0.005684	0.004	0.003881	0.003886	0.003801	3.799e-07	0.1622	0.002027	0.005684
SLAMAX	0.03	0.034	0.03737	0.03582	5.919e-06	0.06792	0.02068	0.03994	0.03	0.034	0.03737	0.03582	5.919e-06	0.06792	0.02068	0.03994	0.03	0.034	0.03737	0.03582	5.919e-06	0.06792	0.02068	0.03994
TBASE	4.5	4.687	4.396	4.288	0.5002	0.1649	2.499	5.877	4.5	4.687	4.396	4.288	0.5002	0.1649	2.499	5.877	4.5	4.687	4.396	4.288	0.5002	0.1649	2.499	5.877
TCRES	2	1.417	2.131	1.877	0.2498	0.2662	1.016	3.244	2	1.417	2.131	1.877	0.2498	0.2662	1.016	3.244	2	1.417	2.131	1.877	0.2498	0.2662	1.016	3.244
TOPTGE	22	25.16	25.93	22.92	8.14	0.1245	16.01	29.52	22	25.16	25.93	22.92	8.14	0.1245	16.01	29.52	22	25.16	25.93	22.92	8.14	0.1245	16.01	29.52
TRANCO	8	6.314	4.791	7.374	3.426	0.251	4.05	15.68	8	6.314	4.791	7.374	3.426	0.251	4.05	15.68	8	6.314	4.791	7.374	3.426	0.251	4.05	15.68
YG	0.64	0.6086	0.6928	0.654	0.003515	0.09066	0.5157	0.8868	0.64	0.6086	0.6928	0.654	0.003515	0.09066	0.5157	0.8868	0.64	0.6086	0.6928	0.654	0.003515	0.09066	0.5157	0.8868
LAT	-35.61	-35.61	-35.61	-35.61	0	0	-35.61	-35.61	-35.61	-35.61	-35.61	-35.61	0	0	-35.61	-35.61	-35.61	-35.61	-35.61	-35.61	0	0	-35.61	-35.61
WCI	0.3	0.3	0.3	0.3	0	0	0.3	0.3	0.3	0.3	0.3	0.3	0	0	0.3	0.3	0.3	0.3	0.3	0.3	0	0	0.3	0.3
FWCAD	0.05	0.05	0.05	0.05	0	0	0.05	0.05	0.05	0.05	0.05	0.05	0	0	0.05	0.05	0.05	0.05	0.05	0.05	0	0	0.05	0.05
FWCWP	0.15	0.1763	0.1889	0.1642	0.0003272	0.1102	0.07939	0.1995	0.15	0.1763	0.1889	0.1642	0.0003272	0.1102	0.07939	0.1995	0.15	0.1763	0.1889	0.1642	0.0003272	0.1102	0.07939	0.1995
FWCFC	0.85	0.7149	0.6982	0.75	0.001243	0.047	0.673	0.8996	0.85	0.7149	0.6982	0.75	0.001243	0.047	0.673	0.8996	0.85	0.7149	0.6982	0.75	0.001243	0.047	0.673	0.8996
FWCWET	0.95	0.95	0.95	0.95	0	0	0.95	0.95	0.95	0.95	0.95	0.95	0	0	0.95	0.95	0.95	0.95	0.95	0.95	0	0	0.95	0.95
WCST	0.55	0.4603	0.4572	0.4466	0.0005616	0.05307	0.4027	0.6302	0.55	0.4603	0.4572	0.4466	0.0005616	0.05307	0.4027	0.6302	0.55	0.4603	0.4572	0.4466	0.0005616	0.05307	0.4027	0.6302
WpoolMax	50	50	50	50	0	0	50	50	50	50	50	50	0	0	50	50	50	50	50	50	0	0	50	50
Dparam	0.00318	0.00318	0.00318	0.00318	0	0	0.00318	0.00318	0.00318	0.00318	0.00318	0.00318	0	0	0.00318	0.00318	0.00318	0.00318	0.00318	0.00318	0	0	0.00318	0.00318
FGAS	0.4	0.4	0.4	0.4	0	0	0.4	0.4	0.4	0.4	0.4	0.4	0	0	0.4	0.4	0.4	0.4	0.4	0.4	0	0	0.4	0.4
FO2MX	0.21	0.21	0.21	0.21	0	0	0.21	0.21	0.21	0.21	0.21	0.21	0	0	0.21	0.21	0.21	0.21	0.21	0.21	0	0	0.21	0.21
KTSNOW	65	65	65	65	0	0	65	65	65	65	65	65	0	0	65	65	65	65	65	65	0	0	65	65
Hparam	0.005592	0.005592	0.005592	0.005592	0	0	0.005592	0.005592	0.005592	0.005592	0.005592	0.005592	0	0	0.005592	0.005592	0.005592	0.005592	0.005592	0.005592	0	0	0.005592	0.005592
KRDRANAER	0.2	0.2	0.2	0.2	0	0	0.2	0.2	0.2	0.2	0.2	0.2	0	0	0.2	0.2	0.2	0.2	0.2	0.2	0	0	0.2	0.2
KRESPHARD	0.01	0.01405	0.0391	0.01932	6.346e-05	0.4123	0.001217	0.04375	0.01	0.01405	0.0391	0.01932	6.346e-05	0.4123	0.001217	0.04375	0.01	0.01405	0.0391	0.01932	6.346e-05	0.4123	0.001217	0.04375
KRSR3H	1	1	1	1	0	0	1	1	1	1	1	1	0	0	1	1	1	1	1	1	0	0	1	1
KRTOTAER	2	2	2	2	0	0	2	2	2	2	2	2	0	0	2	2	2	2	2	2	0	0	2	2
KSNOW	0.035	0.035	0.035	0.035	0	0	0.035	0.035	0.035	0.035	0.035	0.035	0	0	0.035	0.035	0.035	0.035	0.035	0.035	0	0	0.035	0.035
LAMBDAsoil	172800	172800	172800	172800	0	0	172800	172800	172800	172800	172800	172800	0	0	172800	172800	172800	172800	172800	172800	0	0	172800	172800
LDT50A	1.34	1.34	1.34	1.34	0	0	1.34	1.34	1.34	1.34	1.34	1.34	0	0	1.34	1.34	1.34	1.34	1.34	1.34	0	0	1.34	1.34
LDT50B	-2.113	-2.113	-2.113	-2.113	0	0	-2.113	-2.113	-2.113	-2.113	-2.113	-2.113	0	0	-2.113	-2.113	-2.113	-2.113	-2.113	-2.113	0	0	-2.113	-2.113
LT50MN	-26.68	-26.68	-26.68	-26.68	0	0	-26.68	-26.68	-26.68	-26.68	-26.68	-26.68	0	0	-26.68	-26.68	-26.68	-26.68	-26.68	-26.68	0	0	-26.68	-26.68
LT50MX	-4.789	-4.789	-4.789	-4.789	0	0	-4.789	-4.789	-4.789	-4.789	-4.789	-4.789	0	0	-4.789	-4.789	-4.789	-4.789	-4.789	-4.789	0	0	-4.789	-4.789
RATEDMX	2	2	2	2	0	0	2	2	2	2	2	2	0	0	2	2	2	2	2	2	0	0	2	2
reHardRedDay	145	145	145	145	0	0	145	145	145	145	145	145	0	0	145	145	145	145	145	145	0	0	145	145
RHOnewSnow	100	100	100	100	0	0	100	100	100	100	100	100	0	0	100	100	100	100	100	100	0	0	100	100
RHOpack	0.02	0.02	0.02	0.02	0	0	0.02	0.02	0.02	0.02	0.02	0.02	0	0	0.02	0.02	0.02	0.02	0.02	0.02	0	0	0.02	0.02
SWret	0.1	0.1	0.1	0.1	0	0	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0.1	0.1
SWrf	0.01	0.01	0.01	0.01	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0	0	0.01	0.01
THARDMX	14.71	14.71	14.71	14.71	0	0	14.71	14.71	14.71	14.71	14.71	14.71	0	0	14.71	14.71	14.71	14.71	14.71	14.71	0	0	14.71	14.71
TmeltFreeze	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TrainSnow	0.01	0.01	0.01	0.01	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0	0	0.01	0.01
TsurfDiff	0.6228	0.6228	0.6228	0.6228	0	0	0.6228	0.6228	0.6228	0.6228	0.6228	0.6228	0	0	0.6228	0.6228	0.6228	0.6228	0.6228	0.6228	0	0	0.6228	0.6228
KLUETILG	0.5	0.3365	0.357	0.6058	0.02483	0.2601	0.1246	0.9933	0.5	0.3365	0.357	0.6058	0.02483	0.2601	0.1246	0.9933	0.5	0.3365	0.357	0.6058	0.02483	0.2601	0.1246	0.9933
FRTILGG1I	0.1	0.1	0.1	0.1	0	0	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0.1	0.1
DAYLG1G2	0.55	0.5582	0.5568	0.5467	0.0002407	0.02838	0.5035	0.5909	0.55	0.5582	0.5568	0.5467	0.0002407	0.02838	0.5035	0.5909	0.55	0.5582	0.5568	0.5467	0.0002407	0.02838	0.5035	0.5909
RGRTG1G2	0.6	0.547	0.2339	0.5557	0.03382	0.3309	0.02587	0.9936	0.6	0.547	0.2339	0.5557	0.03382	0.3309	0.02587	0.9936	0.6	0.547	0.2339	0.5557	0.03382	0.3309	0.02587	0.9936
RDRTMIN	0.01	0.006317	0.005506	0.008931	1.162e-05	0.3817	0.0001317	0.01894	0.01	0.006317	0.005506	0.008931	1.162e-05	0.3817	0.0001317	0.01894	0.01	0.006317	0.005506	0.008931	1.162e-05	0.3817	0.0001317	0.01894
TVERN	4	5.23	5.028	4.871	0.7255	0.1749	3.059	7.694	4	5.23	5.028	4.871	0.7255	0.1749	3.059	7.694	4	5.23	5.028	4.871	0.7255	0.1749	3.059	7.694
TVERND	21	19.46	20.67	20.98	4.492	0.101	15.34	26.25	21	19.46	20.67	20.98	4.492	0.101	15.34	26.25	21	19.46	20.67	20.98	4.492	0.101	15.34	26.25
AGEH	700	811	1046	709.8	14000	0.1667	502.2	1162	700	811	1046	709.8	14000	0.1667	502.2	1162	700	811	1046	709.8	14000	0.1667	502.2	1162
KAGE	0.0458	0.0458	0.0458	0.0458	0	0	0.0458	0.0458	0.0458	0.0458	0.0458	0.0458	0	0	0.0458	0.0458	0.0458	0.0458	0.0458	0.0458	0	0	0.0458	0.0458
RDRROOT	0.003	0.003224	0.003501	0.003221	1.326e-06	0.3575	0.001061	0.007523	0.003	0.003224	0.003501	0.003221	1.326e-06	0.3575	0.001061	0.007523	0.003	0.003224	0.003501	0.003221	1.326e-06	0.3575	0.001061	0.007523
DAYLGEA	0.5	0.5123	0.5167	0.511	0.001029	0.06277	0.4037	0.588	0.5	0.5123	0.5167	0.511	0.001029	0.06277	0.4037	0.588	0.5	0.5123	0.5167	0.511	0.001029	0.06277	0.4037	0.588
DAYLRV	0.55	0.5361	0.4962	0.5359	0.001103	0.06196	0.4187	0.5998	0.55	0.5361	0.4962	0.5359	0.001103	0.06196	0.4187	0.5998	0.55	0.5361	0.4962	0.5359	0.001103	0.06196	0.4187	0.5998
FCOCRESMN	0.1	0.1946	0.3364	0.4007	0.04764	0.5447	0.1013	0.9836	0.1	0.1946	0.3364	0.4007	0.04764	0.5447	0.1013	0.9836	0.1	0.1946	0.3364	0.4007	0.04764	0.5447	0.1013	0.9836
KCRT	10	39.19	51.65	28.02	195.3	0.4988	1.161	64.23	10	39.19	51.65	28.02	195.3	0.4988	1.161	64.23	10	39.19	51.65	28.02	195.3	0.4988	1.161	64.23
VERNDI	0	8.332	15.77	13.67	56.15	0.5483	0.01923	29.94	0	8.332	15.77	13.67	56.15	0.5483	0.01923	29.94	0	8.332	15.77	13.67	56.15	0.5483	0.01923	29.94
PERSDRT	0	-0.2626	-0.1249	-0.03735	0.09137	8.094	-0.9478	0.9289	0	-0.2626	-0.1249	-0.03735	0.09137	8.094	-0.9478	0.9289	0	-0.2626	-0.1249	-0.03735	0.09137	8.094	-0.9478	0.9289
PERSGTIL	0	-0.7807	-0.342	-0.2138	0.1384	1.74	-0.9989	0.9807	0	-0.7807	-0.342	-0.2138	0.1384	1.74	-0.9989	0.9807	0	-0.7807	-0.342	-0.2138	0.1384	1.74	-0.9989	0.9807
PERSRES	0	-0.798	-0.8689	-0.6128	0.0525	0.3739	-0.9579	0.9429	0	-0.798	-0.8689	-0.6128	0.0525	0.3739	-0.9579	0.9429	0	-0.798	-0.8689	-0.6128	0.0525	0.3739	-0.9579	0.9429
