row.names.df_params.	ModePrior_1	MAP_1	MaxL_1	MeanPost_1	VarPost_1	CVPost_1	MinPost_1	MaxPost_1	ModePrior_2	MAP_2	MaxL_2	MeanPost_2	VarPost_2	CVPost_2	MinPost_2	MaxPost_2	ModePrior_3	MAP_3	MaxL_3	MeanPost_3	VarPost_3	CVPost_3	MinPost_3	MaxPost_3
RDRSCO	0.03	0.01607	0.01893	0.03354	0.0002025	0.4243	0.01069	0.08625	0.03	0.01607	0.01893	0.03354	0.0002025	0.4243	0.01069	0.08625	0.03	0.01607	0.01893	0.03354	0.0002025	0.4243	0.01069	0.08625
RDRSMX	0.09	0.115	0.07318	0.09795	0.0002888	0.1735	0.03656	0.1385	0.09	0.115	0.07318	0.09795	0.0002888	0.1735	0.03656	0.1385	0.09	0.115	0.07318	0.09795	0.0002888	0.1735	0.03656	0.1385
RDRTEM	0.001	0.00104	0.001442	0.001239	5.749e-08	0.1935	0.0005965	0.001836	0.001	0.00104	0.001442	0.001239	5.749e-08	0.1935	0.0005965	0.001836	0.001	0.00104	0.001442	0.001239	5.749e-08	0.1935	0.0005965	0.001836
RGENMX	0.01	0.0128	0.01283	0.01094	4.891e-06	0.2022	0.004838	0.01728	0.01	0.0128	0.01283	0.01094	4.891e-06	0.2022	0.004838	0.01728	0.01	0.0128	0.01283	0.01094	4.891e-06	0.2022	0.004838	0.01728
ROOTDM	0.2	0.1577	0.2437	0.2089	0.004428	0.3185	0.1033	0.4665	0.2	0.1577	0.2437	0.2089	0.004428	0.3185	0.1033	0.4665	0.2	0.1577	0.2437	0.2089	0.004428	0.3185	0.1033	0.4665
RRDMAX	0.0101	0.0101	0.0101	0.0101	0	0	0.0101	0.0101	0.0101	0.0101	0.0101	0.0101	0	0	0.0101	0.0101	0.0101	0.0101	0.0101	0.0101	0	0	0.0101	0.0101
RUBISC	2.7	1.961	2.69	2.491	0.2783	0.2118	1.211	6.364	2.7	1.961	2.69	2.491	0.2783	0.2118	1.211	6.364	2.7	1.961	2.69	2.491	0.2783	0.2118	1.211	6.364
LSHAPE	0.8	0.9083	0.8268	0.7678	0.01074	0.135	0.2061	0.9819	0.8	0.9083	0.8268	0.7678	0.01074	0.135	0.2061	0.9819	0.8	0.9083	0.8268	0.7678	0.01074	0.135	0.2061	0.9819
SIMAX1T	0.004	0.004356	0.002582	0.003674	4.313e-07	0.1787	0.002375	0.005368	0.004	0.004356	0.002582	0.003674	4.313e-07	0.1787	0.002375	0.005368	0.004	0.004356	0.002582	0.003674	4.313e-07	0.1787	0.002375	0.005368
SLAMAX	0.03	0.03265	0.03151	0.03261	8.75e-06	0.09071	0.02356	0.03953	0.03	0.03265	0.03151	0.03261	8.75e-06	0.09071	0.02356	0.03953	0.03	0.03265	0.03151	0.03261	8.75e-06	0.09071	0.02356	0.03953
TBASE	4.5	4.568	3.347	4.478	0.3061	0.1236	2.427	5.771	4.5	4.568	3.347	4.478	0.3061	0.1236	2.427	5.771	4.5	4.568	3.347	4.478	0.3061	0.1236	2.427	5.771
TCRES	2	2.553	1.934	2.385	0.2623	0.2147	1.059	3.932	2	2.553	1.934	2.385	0.2623	0.2147	1.059	3.932	2	2.553	1.934	2.385	0.2623	0.2147	1.059	3.932
TOPTGE	22	25.95	22.51	23.6	6.665	0.1094	15.21	28.78	22	25.95	22.51	23.6	6.665	0.1094	15.21	28.78	22	25.95	22.51	23.6	6.665	0.1094	15.21	28.78
TRANCO	8	8.947	9.127	7.804	2.85	0.2163	4.133	15.26	8	8.947	9.127	7.804	2.85	0.2163	4.133	15.26	8	8.947	9.127	7.804	2.85	0.2163	4.133	15.26
YG	0.64	0.608	0.7193	0.6468	0.003924	0.09684	0.505	0.8982	0.64	0.608	0.7193	0.6468	0.003924	0.09684	0.505	0.8982	0.64	0.608	0.7193	0.6468	0.003924	0.09684	0.505	0.8982
LAT	-37.77	-37.77	-37.77	-37.77	0	0	-37.77	-37.77	-37.77	-37.77	-37.77	-37.77	0	0	-37.77	-37.77	-37.77	-37.77	-37.77	-37.77	0	0	-37.77	-37.77
WCI	0.3	0.3	0.3	0.3	0	0	0.3	0.3	0.3	0.3	0.3	0.3	0	0	0.3	0.3	0.3	0.3	0.3	0.3	0	0	0.3	0.3
FWCAD	0.05	0.05	0.05	0.05	0	0	0.05	0.05	0.05	0.05	0.05	0.05	0	0	0.05	0.05	0.05	0.05	0.05	0.05	0	0	0.05	0.05
FWCWP	0.15	0.1255	0.07287	0.1271	0.0007585	0.2167	0.06288	0.1947	0.15	0.1255	0.07287	0.1271	0.0007585	0.2167	0.06288	0.1947	0.15	0.1255	0.07287	0.1271	0.0007585	0.2167	0.06288	0.1947
FWCFC	0.85	0.8325	0.8127	0.8217	0.001316	0.04415	0.6957	0.8992	0.85	0.8325	0.8127	0.8217	0.001316	0.04415	0.6957	0.8992	0.85	0.8325	0.8127	0.8217	0.001316	0.04415	0.6957	0.8992
FWCWET	0.95	0.95	0.95	0.95	0	0	0.95	0.95	0.95	0.95	0.95	0.95	0	0	0.95	0.95	0.95	0.95	0.95	0.95	0	0	0.95	0.95
WCST	0.55	0.5561	0.4387	0.5003	0.002885	0.1074	0.4063	0.6593	0.55	0.5561	0.4387	0.5003	0.002885	0.1074	0.4063	0.6593	0.55	0.5561	0.4387	0.5003	0.002885	0.1074	0.4063	0.6593
WpoolMax	50	50	50	50	0	0	50	50	50	50	50	50	0	0	50	50	50	50	50	50	0	0	50	50
Dparam	0.00318	0.00318	0.00318	0.00318	0	0	0.00318	0.00318	0.00318	0.00318	0.00318	0.00318	0	0	0.00318	0.00318	0.00318	0.00318	0.00318	0.00318	0	0	0.00318	0.00318
FGAS	0.4	0.4	0.4	0.4	0	0	0.4	0.4	0.4	0.4	0.4	0.4	0	0	0.4	0.4	0.4	0.4	0.4	0.4	0	0	0.4	0.4
FO2MX	0.21	0.21	0.21	0.21	0	0	0.21	0.21	0.21	0.21	0.21	0.21	0	0	0.21	0.21	0.21	0.21	0.21	0.21	0	0	0.21	0.21
KTSNOW	65	65	65	65	0	0	65	65	65	65	65	65	0	0	65	65	65	65	65	65	0	0	65	65
Hparam	0.005592	0.005592	0.005592	0.005592	0	0	0.005592	0.005592	0.005592	0.005592	0.005592	0.005592	0	0	0.005592	0.005592	0.005592	0.005592	0.005592	0.005592	0	0	0.005592	0.005592
KRDRANAER	0.2	0.2	0.2	0.2	0	0	0.2	0.2	0.2	0.2	0.2	0.2	0	0	0.2	0.2	0.2	0.2	0.2	0.2	0	0	0.2	0.2
KRESPHARD	0.01	0.003008	0.01596	0.01561	0.0001013	0.6449	0.001132	0.04389	0.01	0.003008	0.01596	0.01561	0.0001013	0.6449	0.001132	0.04389	0.01	0.003008	0.01596	0.01561	0.0001013	0.6449	0.001132	0.04389
KRSR3H	1	1	1	1	0	0	1	1	1	1	1	1	0	0	1	1	1	1	1	1	0	0	1	1
KRTOTAER	2	2	2	2	0	0	2	2	2	2	2	2	0	0	2	2	2	2	2	2	0	0	2	2
KSNOW	0.035	0.035	0.035	0.035	0	0	0.035	0.035	0.035	0.035	0.035	0.035	0	0	0.035	0.035	0.035	0.035	0.035	0.035	0	0	0.035	0.035
LAMBDAsoil	172800	172800	172800	172800	0	0	172800	172800	172800	172800	172800	172800	0	0	172800	172800	172800	172800	172800	172800	0	0	172800	172800
LDT50A	1.34	1.34	1.34	1.34	0	0	1.34	1.34	1.34	1.34	1.34	1.34	0	0	1.34	1.34	1.34	1.34	1.34	1.34	0	0	1.34	1.34
LDT50B	-2.113	-2.113	-2.113	-2.113	0	0	-2.113	-2.113	-2.113	-2.113	-2.113	-2.113	0	0	-2.113	-2.113	-2.113	-2.113	-2.113	-2.113	0	0	-2.113	-2.113
LT50MN	-26.68	-26.68	-26.68	-26.68	0	0	-26.68	-26.68	-26.68	-26.68	-26.68	-26.68	0	0	-26.68	-26.68	-26.68	-26.68	-26.68	-26.68	0	0	-26.68	-26.68
LT50MX	-4.789	-4.789	-4.789	-4.789	0	0	-4.789	-4.789	-4.789	-4.789	-4.789	-4.789	0	0	-4.789	-4.789	-4.789	-4.789	-4.789	-4.789	0	0	-4.789	-4.789
RATEDMX	2	2	2	2	0	0	2	2	2	2	2	2	0	0	2	2	2	2	2	2	0	0	2	2
reHardRedDay	145	145	145	145	0	0	145	145	145	145	145	145	0	0	145	145	145	145	145	145	0	0	145	145
RHOnewSnow	100	100	100	100	0	0	100	100	100	100	100	100	0	0	100	100	100	100	100	100	0	0	100	100
RHOpack	0.02	0.02	0.02	0.02	0	0	0.02	0.02	0.02	0.02	0.02	0.02	0	0	0.02	0.02	0.02	0.02	0.02	0.02	0	0	0.02	0.02
SWret	0.1	0.1	0.1	0.1	0	0	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0.1	0.1
SWrf	0.01	0.01	0.01	0.01	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0	0	0.01	0.01
THARDMX	14.71	14.71	14.71	14.71	0	0	14.71	14.71	14.71	14.71	14.71	14.71	0	0	14.71	14.71	14.71	14.71	14.71	14.71	0	0	14.71	14.71
TmeltFreeze	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TrainSnow	0.01	0.01	0.01	0.01	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0	0	0.01	0.01
TsurfDiff	0.6228	0.6228	0.6228	0.6228	0	0	0.6228	0.6228	0.6228	0.6228	0.6228	0.6228	0	0	0.6228	0.6228	0.6228	0.6228	0.6228	0.6228	0	0	0.6228	0.6228
KLUETILG	0.5	0.287	0.6672	0.4084	0.02969	0.4219	0.02412	0.9406	0.5	0.287	0.6672	0.4084	0.02969	0.4219	0.02412	0.9406	0.5	0.287	0.6672	0.4084	0.02969	0.4219	0.02412	0.9406
FRTILGG1I	0.1	0.1	0.1	0.1	0	0	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0.1	0.1
DAYLG1G2	0.55	0.5633	0.5558	0.5445	0.000222	0.02736	0.5101	0.5745	0.55	0.5633	0.5558	0.5445	0.000222	0.02736	0.5101	0.5745	0.55	0.5633	0.5558	0.5445	0.000222	0.02736	0.5101	0.5745
RGRTG1G2	0.6	0.6828	0.4399	0.5999	0.03519	0.3127	0.06144	0.9815	0.6	0.6828	0.4399	0.5999	0.03519	0.3127	0.06144	0.9815	0.6	0.6828	0.4399	0.5999	0.03519	0.3127	0.06144	0.9815
RDRTMIN	0.01	0.007094	0.008571	0.01097	1.072e-05	0.2984	0.002398	0.01878	0.01	0.007094	0.008571	0.01097	1.072e-05	0.2984	0.002398	0.01878	0.01	0.007094	0.008571	0.01097	1.072e-05	0.2984	0.002398	0.01878
TVERN	4	4.722	4.352	4.357	0.667	0.1875	3.054	6.78	4	4.722	4.352	4.357	0.667	0.1875	3.054	6.78	4	4.722	4.352	4.357	0.667	0.1875	3.054	6.78
TVERND	21	20	20.53	20.53	5.493	0.1141	14.15	26.88	21	20	20.53	20.53	5.493	0.1141	14.15	26.88	21	20	20.53	20.53	5.493	0.1141	14.15	26.88
AGEH	700	865.8	685.4	846	25380	0.1883	505.5	1412	700	865.8	685.4	846	25380	0.1883	505.5	1412	700	865.8	685.4	846	25380	0.1883	505.5	1412
KAGE	0.01	0.0122	0.03936	0.02024	0.0001779	0.659	0.000692	0.05472	0.01	0.0122	0.03936	0.02024	0.0001779	0.659	0.000692	0.05472	0.01	0.0122	0.03936	0.02024	0.0001779	0.659	0.000692	0.05472
RDRROOT	0.003	0.003057	0.002022	0.002203	9.68e-07	0.4466	0.001009	0.008612	0.003	0.003057	0.002022	0.002203	9.68e-07	0.4466	0.001009	0.008612	0.003	0.003057	0.002022	0.002203	9.68e-07	0.4466	0.001009	0.008612
DAYLGEA	0.5	0.5089	0.5373	0.5048	0.0005976	0.04843	0.4015	0.5997	0.5	0.5089	0.5373	0.5048	0.0005976	0.04843	0.4015	0.5997	0.5	0.5089	0.5373	0.5048	0.0005976	0.04843	0.4015	0.5997
DAYLRV	0.55	0.5405	0.542	0.5448	0.0004743	0.03998	0.4565	0.5941	0.55	0.5405	0.542	0.5448	0.0004743	0.03998	0.4565	0.5941	0.55	0.5405	0.542	0.5448	0.0004743	0.03998	0.4565	0.5941
FCOCRESMN	0.1	0.2345	0.1576	0.2449	0.008103	0.3675	0.1023	0.5666	0.1	0.2345	0.1576	0.2449	0.008103	0.3675	0.1023	0.5666	0.1	0.2345	0.1576	0.2449	0.008103	0.3675	0.1023	0.5666
KCRT	10	3.998	29.63	13.57	96.72	0.7249	1.004	68.15	10	3.998	29.63	13.57	96.72	0.7249	1.004	68.15	10	3.998	29.63	13.57	96.72	0.7249	1.004	68.15
VERNDI	0	19.89	13.11	13.94	47.99	0.4969	0.1861	29.72	0	19.89	13.11	13.94	47.99	0.4969	0.1861	29.72	0	19.89	13.11	13.94	47.99	0.4969	0.1861	29.72
